scenario_idx,replicate_idx,N_1,N_2,migration_rate,T_split,n_1,n_2,L,rho,mu,Dxy_0,Fst_0,S_0,S_1,S_2,PI_mean_0,PI_mean_1,PI_mean_2,PI_std_0,PI_std_1,PI_std_2,D_0,D_1,D_2,winHET_mean_0,winHET_mean_1,winHET_mean_2,winHET_std_0,winHET_std_1,winHET_std_2,sfs_mean_0,sfs_mean_1,sfs_mean_2,sfs_mean_3,sfs_mean_4,sfs_mean_5,sfs_mean_6,sfs_mean_7,sfs_mean_8,sfs_mean_9,sfs_mean_10,sfs_mean_11,sfs_mean_12,sfs_mean_13,sfs_mean_14,sfs_mean_15,sfs_mean_16,sfs_mean_17,sfs_mean_18,sfs_mean_19,sfs_mean_20,sfs_mean_21,sfs_mean_22,sfs_mean_23,sfs_mean_24,sfs_mean_25,sfs_mean_26,sfs_mean_27,sfs_mean_28,sfs_mean_29,sfs_mean_30,sfs_mean_31,sfs_mean_32,sfs_mean_33,sfs_mean_34,sfs_mean_35,sfs_mean_36,sfs_mean_37,sfs_mean_38
0,0,200,2000,0.0009667507,879,5,5,2000000.0,1.3e-08,1.25e-08,0.0001219899999999,0.150601809883621,0.000176,0.0003125,0.000356,6.841111111111115e-05,0.0001116999999999,0.0001068631578947,0.1361134880524705,0.1300103979364975,0.1598575192468043,0.4985452071122596,0.0560813894414699,0.2718224726860525,0.5430199430199429,0.8735042735042735,0.7979757085020243,0.2076592816452743,0.0817897065116723,0.097169365663426,0.1912442396313364,0.0852534562211981,0.1451612903225806,0.0668202764976958,0.0138248847926267,0.140552995391705,0.0852534562211981,0.0276497695852534,0.0552995391705069,0.1889400921658986,0.3004694835680751,0.2143974960876369,0.1220657276995305,0.0688575899843505,0.0579029733959311,0.0500782472613458,0.0688575899843505,0.0610328638497652,0.0344287949921752,0.0219092331768388,0.223314606741573,0.1544943820224719,0.0646067415730337,0.071629213483146,0.0280898876404494,0.0772471910112359,0.0196629213483146,0.0589887640449438,0.0351123595505618,0.0617977528089887,0.0266853932584269,0.0182584269662921,0.0154494382022471,0.0280898876404494,0.023876404494382,0.0168539325842696,0.021067415730337,0.0294943820224719,0.0252808988764044
0,1,200,2000,0.0009667507,879,5,5,2000000.0,1.3e-08,1.25e-08,7.938000000000012e-05,0.0971918265797425,0.000157,0.000252,0.0002715,3.656666666666684e-05,9.406666666666644e-05,7.271842105263123e-05,0.0822960308721914,0.1317265747233376,0.1417389756513915,-1.706263498745053,0.2805869262390534,-0.2081109799623621,0.4598290598290598,0.831908831908832,0.7013495276653171,0.1976854899220142,0.1240648332786947,0.133881170583483,0.4540229885057471,0.0201149425287356,0.0172413793103448,0.0086206896551724,0.014367816091954,0.0028735632183908,0.0086206896551724,0.0689655172413793,0.3074712643678161,0.0977011494252873,0.274703557312253,0.2233201581027667,0.1205533596837944,0.1027667984189723,0.0909090909090909,0.0494071146245059,0.0434782608695652,0.0711462450592885,0.0197628458498023,0.0039525691699604,0.2744014732965009,0.1031307550644567,0.151012891344383,0.0699815837937384,0.0202578268876611,0.0460405156537753,0.0147329650092081,0.012891344383057,0.005524861878453,0.0202578268876611,0.003683241252302,0.0294659300184162,0.0515653775322283,0.0386740331491712,0.0220994475138121,0.0368324125230202,0.0552486187845303,0.0257826887661141,0.0184162062615101
0,2,200,2000,0.0009667507,879,5,5,2000000.0,1.3e-08,1.25e-08,0.0001154099999999,0.0718420753918694,0.000169,0.0003535,0.000386,7.266666666666673e-05,0.0001272111111111,0.0001080815789473,0.1081174401530302,0.1358514024130746,0.1535661585930561,1.0828056412706448,0.0904512355759873,-0.0277046966308686,0.6501424501424502,0.9185185185185186,0.8357624831309043,0.2075936047847486,0.0547423868921957,0.0729107222389209,0.0649651972157772,0.1670533642691415,0.1415313225058004,0.0835266821345707,0.0904872389791183,0.0812064965197215,0.074245939675174,0.062645011600928,0.0185614849187935,0.2157772621809744,0.3239038189533239,0.1937765205091937,0.1456859971711457,0.1018387553041018,0.0594059405940594,0.0551626591230551,0.0438472418670438,0.0367751060820367,0.0396039603960396,0.0,0.2590673575129533,0.1528497409326424,0.0841968911917098,0.0725388601036269,0.0544041450777202,0.0336787564766839,0.0375647668393782,0.0272020725388601,0.0194300518134715,0.0466321243523316,0.0207253886010362,0.0207253886010362,0.0207253886010362,0.0297927461139896,0.022020725388601,0.0284974093264248,0.022020725388601,0.022020725388601,0.0259067357512953
0,3,200,2000,0.0009667507,879,5,5,2000000.0,1.3e-08,1.25e-08,0.0001153999999999,0.1910208996301711,0.0001245,0.000331,0.00035,4.301111111111113e-05,0.0001137555555555,9.786578947368354e-05,0.099218163468077,0.1404837586146698,0.1679661350719867,-0.1132856490438352,-0.1391970869845145,-0.0334503835278137,0.4239316239316239,0.9002849002849004,0.7701754385964911,0.1785868069588102,0.0759653367031239,0.0936838567168964,0.1543026706231454,0.1661721068249258,0.0682492581602373,0.0,0.0029673590504451,0.0,0.1335311572700296,0.172106824925816,0.0415430267062314,0.2611275964391691,0.3957703927492447,0.1601208459214501,0.1087613293051359,0.0981873111782477,0.0709969788519637,0.0453172205438066,0.0422960725075528,0.0347432024169184,0.0438066465256797,0.0,0.3242857142857143,0.12,0.0828571428571428,0.0428571428571428,0.0228571428571428,0.0371428571428571,0.0385714285714285,0.0228571428571428,0.04,0.0557142857142857,0.0328571428571428,0.0342857142857142,0.0357142857142857,0.0214285714285714,0.0157142857142857,0.0157142857142857,0.0171428571428571,0.0114285714285714,0.0285714285714285
0,4,200,2000,0.0009667507,879,5,5,2000000.0,1.3e-08,1.25e-08,8.824999999999968e-05,0.0651780325890156,0.000172,0.000223,0.0002845,7.217777777777767e-05,8.272222222222199e-05,8.31342105263154e-05,0.1014065711381605,0.1373538489930767,0.1514752022731158,0.936478997298248,0.2474866030690632,0.1534330905156938,0.782905982905983,0.843874643874644,0.8497975708502024,0.0900861728728053,0.1092710520831281,0.0858795975935328,0.0804289544235924,0.260053619302949,0.1876675603217158,0.064343163538874,0.1126005361930295,0.0509383378016085,0.0697050938337801,0.0965147453083109,0.0,0.0777479892761394,0.281995661605206,0.2039045553145336,0.0932754880694143,0.0997830802603036,0.0954446854663774,0.0607375271149674,0.0585683297180043,0.0368763557483731,0.0368763557483731,0.0325379609544468,0.1968365553602812,0.2003514938488576,0.1036906854130052,0.0843585237258348,0.0439367311072056,0.0246045694200351,0.0333919156414762,0.0439367311072056,0.0509666080843585,0.0228471001757469,0.0369068541300527,0.0193321616871704,0.0351493848857645,0.0105448154657293,0.0105448154657293,0.0175746924428822,0.0193321616871704,0.0333919156414762,0.0123022847100175
0,5,200,2000,0.0009667507,879,5,5,2000000.0,1.3e-08,1.25e-08,7.223999999999962e-05,0.2063344806152633,3.85e-05,0.0002515,0.000265,1.498888888888887e-05,8.006666666666644e-05,6.053421052631538e-05,0.1221689101116211,0.1307777748948163,0.1488967027305933,0.500228306654696,-0.4979498746254117,-0.7925850658690095,0.3316239316239316,0.802849002849003,0.6506072874493929,0.2735292011432289,0.1308582705885907,0.1814761992328775,0.0738916256157635,0.0541871921182266,0.0492610837438423,0.0295566502463054,0.0049261083743842,0.0295566502463054,0.0935960591133004,0.0246305418719211,0.0197044334975369,0.6206896551724138,0.4333996023856858,0.1669980119284294,0.0656063618290258,0.0357852882703777,0.0576540755467196,0.0536779324055666,0.0457256461232604,0.0795228628230616,0.0616302186878727,0.0,0.3962264150943396,0.1283018867924528,0.0622641509433962,0.0245283018867924,0.0188679245283018,0.030188679245283,0.0150943396226415,0.030188679245283,0.0113207547169811,0.0037735849056603,0.0226415094339622,0.0320754716981132,0.0264150943396226,0.0094339622641509,0.030188679245283,0.0226415094339622,0.0377358490566037,0.0452830188679245,0.0528301886792452
0,6,200,2000,0.0009667507,879,5,5,2000000.0,1.3e-08,1.25e-08,0.0001286599999999,0.1774323932705952,0.0001645,0.0003015,0.000366,7.41777777777778e-05,0.0001055888888888,0.0001102921052631,0.1093887435364326,0.1372083243127557,0.1567336490422796,1.379180414432457,-0.046428001079905,0.2891757482546966,0.6142450142450144,0.8592592592592593,0.8560053981106612,0.172682478787534,0.0662538659999937,0.0755733082702924,0.0906801007556675,0.0654911838790932,0.1687657430730478,0.1662468513853904,0.0226700251889168,0.1612090680100755,0.1259445843828715,0.0125944584382871,0.0151133501259445,0.1712846347607053,0.3387622149837133,0.1791530944625407,0.1140065146579804,0.0814332247557003,0.0765472312703583,0.0472312703583061,0.0423452768729641,0.0504885993485342,0.0521172638436482,0.017915309446254,0.2540983606557377,0.1065573770491803,0.0737704918032786,0.0997267759562841,0.0601092896174863,0.0737704918032786,0.0505464480874316,0.0327868852459016,0.0368852459016393,0.0245901639344262,0.0382513661202185,0.0245901639344262,0.0109289617486338,0.0245901639344262,0.0259562841530054,0.0191256830601092,0.0109289617486338,0.0191256830601092,0.0136612021857923
0,7,200,2000,0.0009667507,879,5,5,2000000.0,1.3e-08,1.25e-08,9.775999999999965e-05,0.106793551755152,0.000175,0.0002695,0.0003075,5.863333333333347e-05,9.915555555555511e-05,8.882368421052572e-05,0.1368164303957695,0.1436183076327959,0.1658700363099479,-0.2610355755688568,0.2046996418622504,0.103701491728744,0.4980056980056981,0.8421652421652422,0.7678812415654521,0.1907462195136882,0.0924904104156938,0.0922125449759849,0.2627551020408163,0.0586734693877551,0.0994897959183673,0.0331632653061224,0.0025510204081632,0.0586734693877551,0.1913265306122449,0.0153061224489795,0.1709183673469387,0.1071428571428571,0.3211009174311927,0.1321100917431192,0.1137614678899082,0.0880733944954128,0.110091743119266,0.0752293577981651,0.0532110091743119,0.0477064220183486,0.0477064220183486,0.0110091743119266,0.2975609756097561,0.1073170731707317,0.0439024390243902,0.0552845528455284,0.0390243902439024,0.024390243902439,0.065040650406504,0.0308943089430894,0.0373983739837398,0.0341463414634146,0.0260162601626016,0.0373983739837398,0.040650406504065,0.0227642276422764,0.0308943089430894,0.032520325203252,0.0178861788617886,0.0260162601626016,0.0308943089430894
0,8,200,2000,0.0009667507,879,5,5,2000000.0,1.3e-08,1.25e-08,9.729999999999948e-05,0.1122824844404916,0.0001565,0.0003125,0.0003425,4.598888888888898e-05,0.0001093222222222,8.79947368421046e-05,0.1249673023083464,0.1353608896185026,0.1478750570720708,-0.8437591206987479,-0.0518324745939971,-0.3704066711539779,0.4905982905982907,0.8905982905982908,0.777732793522267,0.1857462462768535,0.0772074515599057,0.094792767556965,0.3487179487179487,0.0794871794871794,0.0461538461538461,0.0128205128205128,0.0179487179487179,0.0435897435897435,0.0641025641025641,0.0538461538461538,0.1358974358974359,0.1974358974358974,0.3450479233226837,0.2028753993610223,0.1198083067092651,0.0623003194888178,0.0814696485623003,0.0511182108626198,0.0463258785942492,0.0447284345047923,0.0447284345047923,0.0015974440894568,0.3182481751824818,0.12992700729927,0.0773722627737226,0.091970802919708,0.0306569343065693,0.0437956204379562,0.0204379562043795,0.0160583941605839,0.0233576642335766,0.0116788321167883,0.018978102189781,0.0306569343065693,0.0145985401459854,0.0248175182481751,0.0277372262773722,0.0233576642335766,0.0394160583941605,0.0291970802919708,0.0277372262773722
0,9,200,2000,0.0009667507,879,5,5,2000000.0,1.3e-08,1.25e-08,9.912999999999968e-05,0.1049434319790453,0.000143,0.000319,0.000338,5.005555555555562e-05,0.0001105444444444,9.021052631578912e-05,0.1275308563604328,0.1403357777550202,0.1564695586999394,-0.0487551418008462,-0.09859428372772,-0.2222962957325125,0.5168091168091168,0.8643874643874645,0.7524966261808367,0.2055709056387898,0.1003690400721175,0.1200450183063924,0.1671232876712328,0.1671232876712328,0.0136986301369863,0.0356164383561643,0.0958904109589041,0.0273972602739726,0.0383561643835616,0.1452054794520547,0.0931506849315068,0.2164383561643835,0.3918495297805642,0.1347962382445141,0.1191222570532915,0.0987460815047022,0.0454545454545454,0.0721003134796238,0.0501567398119122,0.0470219435736677,0.0407523510971786,0.0,0.3136094674556213,0.1257396449704142,0.0784023668639053,0.0414201183431952,0.0473372781065088,0.044378698224852,0.0177514792899408,0.0192307692307692,0.051775147928994,0.014792899408284,0.0281065088757396,0.0162721893491124,0.0236686390532544,0.0310650887573964,0.0310650887573964,0.029585798816568,0.0192307692307692,0.0384615384615384,0.0281065088757396
